project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049943,1001,BUSHNELL,None,None,
2004290,2077898,SWC_CAM6,,,,
2004290,2050055,NCSU59,None,None,None,
2004290,2049883,NRC59,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050046,PR5,Browning,,,
2004290,2050011,NCSU51,None,None,None,
2004290,2077895,SWC_CAM5,,,,
2004290,2050001,NCCC360,RECONYX,HC500 HYPERFIRE,None,
2004290,2049909,FWCB 1017,BUSHNELL,None,None,
2004290,2049767,NRC 158,Reconyx,RapidFire,None,
2004290,2049666,11,C1000,CUDDEBACK,None,
2004290,2049822,NRC154,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049939,NRC209,Reconyx,RC55 RAPIDFIRE,None,
2004290,2104472,Plot_19_cam,,,,
2004290,2049663,16,C1000,CUDDEBACK,None,
2004290,2080630,Cam 9B,,,,
2004290,2079263,SWC_CAM17,,,,
2004290,2080812,Cam 1A,,,,
2004290,2049992,FWCB 1303,BUSHNELL,None,None,
2004290,2049941,NCSU 25,None,None,None,
2004290,2049848,FWB3005,BUSHNELL,None,None,
2004290,2049869,NRC 210,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049770,NCSU12,None,None,None,
2004290,2077894,SWC_CAM4,,,,
2004290,2049649,40,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
